"No.","Ticker","Sector","Industry","Market Cap","P/E","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
1,"ACHR","Industrials","Aerospace & Defense",6069.70,,84.84%,-0.72%,50.58%,18.66%,-4.56%,2.84%,-3.49%,3.07,0.53,-2.89%,0.50%,-32.40%,233.62%,2.82 - 13.92,51.35,8/11/2025 4:30:00 PM,0.96%,1.43,34671.46,1.68,10597105,9.41,0.86%,
2,"ADM","Consumer Defensive","Farm Products",28820.67,26.40,99.36%,0.00%,0.38%,2.03%,-2.70%,-4.35%,18.74%,0.69,1.51,0.99%,15.80%,-6.83%,46.38%,40.98 - 64.38,46.16,8/5/2025 8:30:00 AM,0.26%,2.93,3509.82,1.61,1024645,59.99,-1.78%,
3,"AG","Basic Materials","Silver",6080.00,,93.83%,0.00%,4.20%,4.11%,17.18%,37.06%,126.68%,0.72,0.60,33.80%,73.32%,-1.76%,144.50%,5.09 - 12.67,71.16,8/14/2025 8:30:00 AM,1.46%,2.33,20083.48,2.08,7567909,12.44,6.64%,
4,"AGNC","Real Estate","REIT - Mortgage",10281.90,30.40,99.23%,-3.30%,6.65%,5.25%,-1.00%,0.71%,7.17%,1.31,0.15,1.04%,3.56%,-7.13%,25.73%,7.85 - 10.63,48.08,7/21/2025 4:30:00 PM,0.31%,1.71,19942.53,1.70,6167927,9.87,1.13%,
5,"AMZN","Consumer Cyclical","Internet Retail",2331563.03,33.36,90.60%,-2.44%,1.78%,0.72%,-5.56%,-4.58%,-0.35%,1.29,4.87,-3.84%,1.80%,-9.85%,35.47%,161.38 - 242.52,37.87,7/31/2025 4:30:00 PM,0.39%,1.24,43642.57,1.54,12223436,218.62,0.22%,
6,"ASM","Basic Materials","Other Precious Metals & Mining",780.82,49.34,96.17%,0.00%,104.07%,7.65%,12.04%,18.68%,491.37%,1.57,0.27,29.18%,103.63%,6.33%,512.22%,0.85 - 4.90,70.25,8/13/2025 4:30:00 PM,0.83%,1.50,5407.78,2.53,2488411,5.21,8.54%,
7,"BA","Industrials","Aerospace & Defense",167742.26,,99.94%,-2.85%,0.52%,2.20%,2.87%,-5.85%,25.33%,1.48,5.39,-2.03%,14.16%,-8.59%,72.13%,128.88 - 242.69,50.31,7/29/2025 8:30:00 AM,4.60%,1.54,7223.20,6.54,8576023,221.84,3.89%,
8,"BILI","Communication Services","Internet Content & Information",8378.31,373.63,97.70%,,-5.63%,4.27%,-4.77%,15.17%,42.77%,0.91,1.04,6.82%,26.51%,-18.62%,78.68%,14.47 - 31.77,53.57,8/21/2025 8:30:00 AM,-3.44%,1.51,3205.46,1.53,892940,25.85,-5.43%,
9,"BULL","Technology","Software - Application",7100.97,,35.12%,0.00%,102.57%,6.11%,8.05%,-0.55%,23.53%,-0.16,0.89,-0.84%,6.45%,-81.95%,50.52%,9.54 - 79.56,54.77,09/03/2025,3.96%,1.00,14349.61,5.70,14848415,14.36,-1.91%,
10,"CIEN","Technology","Communication Equipment",19649.09,143.88,98.29%,-5.43%,3.52%,2.89%,0.67%,50.20%,64.25%,1.09,4.43,32.49%,66.19%,-1.51%,183.07%,49.21 - 141.43,79.41,9/4/2025 8:30:00 AM,2.24%,2.25,2361.88,1.82,782259,139.30,1.55%,
11,"CIFR","Financial","Capital Markets",4418.53,,73.20%,-19.28%,8.51%,17.76%,-8.51%,60.73%,142.13%,2.82,1.15,45.61%,119.22%,-27.70%,504.03%,1.86 - 15.54,57.12,8/7/2025 8:30:00 AM,-1.37%,1.29,39125.41,3.75,26666926,11.23,-3.64%,
12,"CLSK","Financial","Capital Markets",3491.05,14.15,96.60%,-1.17%,1.58%,20.48%,-8.81%,29.65%,34.85%,3.84,0.92,13.96%,24.58%,-30.88%,92.50%,6.45 - 17.97,57.43,8/7/2025 4:30:00 PM,-4.17%,1.23,24584.96,3.21,14321920,12.42,-9.21%,
13,"COST","Consumer Defensive","Discount Stores",407209.51,50.43,99.86%,-1.78%,0.36%,1.48%,-3.46%,-3.30%,0.21%,0.98,15.05,-3.94%,-5.86%,-14.84%,5.89%,867.16 - 1078.23,33.36,9/25/2025 4:30:00 PM,-1.84%,1.93,2162.09,4.78,1877175,918.22,-2.66%,
14,"CRML","Basic Materials","Other Industrial Metals & Mining",648.82,,28.50%,0.00%,269.29%,14.55%,-8.35%,1.08%,-3.09%,1.22,0.69,19.91%,62.22%,-33.47%,434.98%,1.23 - 9.89,55.17,09/03/2025,0.00%,1.00,5531.00,1.83,1840241,6.58,-6.26%,
15,"CROX","Consumer Cyclical","Footwear & Accessories",4249.51,20.89,96.15%,-0.36%,-1.28%,12.50%,-3.13%,-10.19%,-28.96%,1.43,2.99,-11.81%,-22.12%,-48.52%,5.48%,73.76 - 151.13,38.90,8/7/2025 8:30:00 AM,0.25%,2.53,2010.19,1.98,721271,77.81,1.51%,
16,"CRWV","Technology","Software - Infrastructure",59548.91,,81.08%,-10.63%,-37.04%,11.01%,-2.38%,25.74%,204.71%,,9.83,9.52%,17.17%,-34.82%,263.67%,33.51 - 187.00,54.76,8/12/2025 4:30:00 PM,0.99%,2.21,22765.38,1.95,8051099,121.88,-3.77%,
17,"DBRG","Financial","Asset Management",2247.76,,99.39%,0.00%,2.11%,6.41%,-1.58%,3.58%,5.05%,1.68,0.42,5.09%,12.90%,-31.62%,84.87%,6.41 - 17.33,53.61,8/7/2025 8:30:00 AM,0.00%,1.22,2116.42,1.73,664402,11.85,0.00%,
18,"EXK","Basic Materials","Silver",2298.15,,99.90%,0.00%,13.07%,9.83%,17.16%,33.33%,116.39%,1.28,0.42,33.10%,74.20%,-3.53%,168.47%,2.95 - 8.21,70.79,8/13/2025 8:30:00 AM,1.18%,1.33,11473.81,1.91,3972045,7.92,3.80%,
19,"FCX","Basic Materials","Copper",51809.91,27.33,99.47%,-0.10%,0.36%,1.50%,-19.70%,-17.75%,-4.69%,1.60,1.72,-16.31%,-9.54%,-30.91%,30.67%,27.61 - 52.23,27.10,7/23/2025 8:30:00 AM,0.45%,2.04,17245.90,3.19,9991171,36.08,2.11%,
20,"FLNC","Utilities","Utilities - Renewable",2095.17,,58.00%,0.04%,1.46%,28.74%,22.65%,57.69%,-27.71%,2.73,0.83,38.55%,39.64%,-52.17%,231.79%,3.46 - 24.00,73.42,8/11/2025 4:30:00 PM,-1.28%,2.90,5314.40,1.86,1797282,11.48,-2.13%,
21,"FUTU","Financial","Capital Markets",16143.88,23.59,95.32%,0.00%,-1.19%,6.02%,-4.30%,-7.39%,112.94%,0.50,8.67,-1.42%,41.20%,-14.78%,141.26%,70.60 - 199.86,44.83,8/20/2025 8:30:00 AM,-1.53%,1.32,2456.24,2.54,1134633,170.33,-4.92%,
22,"GDS","Technology","Information Technology Services",7946.78,2727.59,97.67%,0.00%,16.54%,4.14%,1.51%,17.46%,66.46%,0.36,2.43,10.89%,33.78%,-24.67%,133.68%,16.92 - 52.50,56.96,8/20/2025 8:30:00 AM,-2.07%,1.17,2631.15,2.17,1036575,39.55,-5.99%,
23,"GFS","Technology","Semiconductors",19255.19,,18.85%,0.00%,-2.85%,11.41%,5.85%,2.52%,-18.84%,1.47,1.25,0.90%,-8.12%,-26.98%,16.98%,29.77 - 47.69,60.91,8/5/2025 8:30:00 AM,11.36%,2.09,2376.78,5.11,2206988,34.83,6.04%,
24,"GME","Consumer Cyclical","Specialty Retail",11765.12,35.93,91.35%,1.31%,17.76%,16.34%,0.77%,16.80%,-16.14%,-0.84,0.84,11.11%,1.56%,-26.61%,29.46%,20.30 - 35.81,62.12,9/9/2025 4:30:00 PM,1.13%,4.00,8643.82,1.75,2738640,26.28,4.00%,
