"No.","Ticker","Sector","Industry","Market Cap","P/E","Shares Float","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
1,"ACN","Technology","Information Technology Services",148843.10,19.66,621.17,99.73%,-0.87%,1.73%,2.36%,-0.30%,-7.06%,-32.07%,1.28,6.71,-5.89%,-22.93%,-40.01%,4.17%,229.40 - 398.35,41.84,9/25/2025 8:30:00 AM,0.02%,1.89,4523.89,1.80,8163164,238.97,2.76%,239.75
2,"ADM","Consumer Defensive","Farm Products",29116.15,26.67,476.94,99.36%,0.00%,0.48%,2.03%,-1.70%,-3.36%,19.95%,0.69,1.51,2.00%,16.98%,-5.87%,47.88%,40.98 - 64.38,48.96,8/5/2025 8:30:00 AM,0.39%,2.93,3509.82,1.67,5878774,60.60,-0.77%,60.70
3,"ASM","Basic Materials","Other Precious Metals & Mining",765.84,48.39,140.94,96.17%,0.00%,104.74%,8.72%,9.89%,16.40%,480.02%,1.57,0.27,26.77%,99.76%,4.29%,500.47%,0.85 - 4.90,68.81,8/13/2025 4:30:00 PM,0.83%,1.50,5407.78,1.60,8658485,5.11,6.46%,5.12
4,"AXTA","Basic Materials","Specialty Chemicals",6083.57,13.81,215.46,99.47%,-0.29%,-1.13%,3.50%,-7.20%,-10.71%,-17.91%,1.26,0.75,-6.58%,-13.72%,-32.57%,1.85%,27.58 - 41.65,32.57,7/30/2025 8:30:00 AM,0.61%,1.90,2871.62,1.67,4799909,28.09,1.08%,28.09
5,"BA","Industrials","Aerospace & Defense",167307.45,,755.13,99.94%,-2.85%,0.52%,2.20%,2.60%,-6.09%,25.01%,1.48,5.40,-2.28%,13.87%,-8.83%,71.68%,128.88 - 242.69,49.54,7/29/2025 8:30:00 AM,4.60%,1.54,7223.20,2.39,17281717,221.26,3.62%,221.70
6,"BHVN","Healthcare","Biotechnology",1586.87,,92.38,87.33%,0.00%,-4.28%,14.28%,4.75%,-3.85%,-59.84%,3.48,0.94,2.53%,-36.66%,-73.07%,17.28%,12.79 - 55.70,52.73,8/11/2025 8:30:00 AM,-0.07%,1.22,2131.10,1.51,3224776,15.00,8.54%,15.07
7,"BULL","Technology","Software - Application",7496.57,,173.65,35.12%,0.00%,102.58%,6.11%,14.07%,4.99%,30.41%,-0.16,0.90,4.56%,12.35%,-80.95%,58.91%,9.54 - 79.56,61.25,09/03/2025,3.96%,1.00,14349.61,2.48,35582761,15.16,3.55%,15.15
8,"CIEN","Technology","Communication Equipment",20020.06,146.59,138.95,98.31%,-5.68%,3.52%,2.89%,2.57%,53.04%,67.35%,1.09,4.67,34.93%,69.30%,0.35%,188.42%,49.21 - 141.43,81.01,9/4/2025 8:30:00 AM,2.24%,2.15,2361.88,1.61,3796081,141.93,3.47%,141.80
9,"CIFR","Financial","Capital Markets",4510.95,,286.02,73.95%,-19.28%,-8.14%,17.57%,-6.60%,64.09%,147.20%,2.82,1.20,48.56%,123.75%,-26.19%,516.67%,1.86 - 15.54,58.71,8/7/2025 8:30:00 AM,-1.42%,1.29,39125.41,2.42,94631666,11.47,-1.63%,11.46
10,"CNM","Industrials","Industrial Distribution",10383.70,23.52,189.22,99.33%,-60.90%,-1.73%,4.95%,3.71%,-19.67%,3.75%,1.01,1.92,-12.82%,-4.15%,-21.38%,26.97%,41.60 - 67.18,42.00,9/9/2025 8:30:00 AM,-0.02%,2.12,2452.00,1.69,4141569,52.82,3.43%,52.65
