rank,symbol,score,tier,gap_pct,rel_volume,tags,Why,TopFeature1,TopFeature2,TopFeature3,TopFeature4,TopFeature5
"range(1, 21)",ASM,0.12981076125598429,C,0.83,1.6,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",FCX,0.16635210061505742,C,0.45,2.41,['LOW_FLOAT'],—,,,,,
"range(1, 21)",LI,0.20693307108681205,C,4.98,2.85,['LOW_FLOAT'],—,,,,,
"range(1, 21)",AXTA,0.06765504412115492,C,0.61,1.67,['LOW_FLOAT'],—,,,,,
"range(1, 21)",PAA,0.1442125306309851,C,-0.4,2.9,['LOW_FLOAT'],—,,,,,
"range(1, 21)",PR,0.17744333063848938,C,0.15,2.02,['LOW_FLOAT'],—,,,,,
"range(1, 21)",KVYO,0.08633491901871672,C,-0.37,2.7,['LOW_FLOAT'],—,,,,,
"range(1, 21)",ACN,0.09627824380385122,C,0.02,1.8,['LOW_FLOAT'],—,,,,,
"range(1, 21)",WAY,0.1567182833525811,C,-0.35,2.92,['LOW_FLOAT'],—,,,,,
"range(1, 21)",BA,0.14994405362626873,C,4.6,2.39,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",QUBT,0.14841209493410562,C,-0.15,2.45,['LOW_FLOAT'],—,,,,,
"range(1, 21)",HOUS,0.062251519811215544,C,1.06,2.22,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",IREN,0.22739012965939348,C,-5.64,1.9,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",PCAR,0.14262946103443974,C,4.55,2.05,['LOW_FLOAT'],—,,,,,
"range(1, 21)",KMX,0.21296972472911188,C,-1.86,3.06,['LOW_FLOAT'],—,,,,,
"range(1, 21)",KVUE,0.1591974295107493,C,1.55,2.1,['LOW_FLOAT'],—,,,,,
"range(1, 21)",HUN,0.09301093515048685,C,1.01,1.69,['LOW_FLOAT'],—,,,,,
"range(1, 21)",XEL,0.09945974846554874,C,0.4,1.86,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",RIO,0.07210228527054535,C,-0.7,1.85,['LOW_FLOAT'],—,,,,,
"range(1, 21)",PHYS,0.17352956030269148,C,0.28,2.51,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
